Day,Trophic,Species,Origin,Mesocosm,Replicate,Density,Alive ,Consumed
33,Predator,Virilis ,Native,5,2,0,0,35
37,Predator,Virilis ,Native,5,2,0,0,35
41,Predator,Virilis ,Native,5,2,0,0,35
45,Predator,Virilis ,Native,5,2,0,0,35
49,Predator,Virilis ,Native,5,2,0,0,35
53,Predator,Virilis ,Native,5,2,0,0,35
57,Predator,Virilis ,Native,5,2,0,0,35
63,Predator,Virilis ,Native,5,2,0,0,35
1,Predator,Virilis ,Native,21,3,32,32,0
5,Predator,Virilis ,Native,21,3,17,17,15
9,Predator,Virilis ,Native,21,3,6,6,26
13,Predator,Virilis ,Native,21,3,1,1,31
17,Predator,Virilis ,Native,21,3,0,0,32
21,Predator,Virilis ,Native,21,3,0,0,32
25,Predator,Virilis ,Native,21,3,10,10,22
29,Predator,Virilis ,Native,21,3,1,1,31
33,Predator,Virilis ,Native,21,3,0,0,32
37,Predator,Virilis ,Native,21,3,0,0,32
41,Predator,Virilis ,Native,21,3,0,0,32
45,Predator,Virilis ,Native,21,3,1,1,31
49,Predator,Virilis ,Native,21,3,0,0,32
53,Predator,Virilis ,Native,21,3,0,0,32
57,Predator,Virilis ,Native,21,3,0,0,32
63,Predator,Virilis ,Native,21,3,1,1,31
1,Predator,Virilis ,Native,3,4,27,27,0
5,Predator,Virilis ,Native,3,4,28,28,-1
9,Predator,Virilis ,Native,3,4,16,16,11
13,Predator,Virilis ,Native,3,4,4,4,23
17,Predator,Virilis ,Native,3,4,1,1,26
21,Predator,Virilis ,Native,3,4,1,1,26
25,Predator,Virilis ,Native,3,4,0,0,27
29,Predator,Virilis ,Native,3,4,0,0,27
33,Predator,Virilis ,Native,3,4,0,0,27
37,Predator,Virilis ,Native,3,4,1,1,26
41,Predator,Virilis ,Native,3,4,0,0,27
45,Predator,Virilis ,Native,3,4,6,6,21
49,Predator,Virilis ,Native,3,4,0,0,27
53,Predator,Virilis ,Native,3,4,0,0,27
57,Predator,Virilis ,Native,3,4,0,0,27
63,Predator,Virilis ,Native,3,4,0,0,27
